$	~⟨,SI^F⟩⟨,DOL^R⟩
ぁ	~⟨AV,⟩⟨XA,⟩⟨A,^V⟩⟨LA,^V⟩
あ	~⟨A,⟩
あん	~⟨AN,⟩
ぃ	~⟨IV,⟩⟨XI,⟩⟨LYI,⟩⟨XYI,⟩⟨I,^V⟩⟨LI,^V⟩
い	~⟨I,⟩
いん	~⟨IN,⟩
ぅ	~⟨UV,⟩⟨XU,⟩⟨WUV,⟩⟨U,^V⟩⟨LU,^V⟩⟨WU,^V⟩
う	~⟨U,⟩⟨WU,⟩
うん	~⟨UN,⟩
ぇ	~⟨EV,⟩⟨XE,⟩⟨LYE,⟩⟨XYE,⟩⟨E,^V⟩⟨LE,^V⟩
え	~⟨E,⟩
えん	~⟨EN,⟩
ぉ	~⟨OV,⟩⟨XO,⟩⟨O,^V⟩⟨LO,^V⟩
お	~⟨O,⟩
おん	~⟨ON,⟩
か	~⟨KA,⟩
かん	~⟨KAN,⟩
が	~⟨GA,⟩
がん	~⟨GAN,⟩
き	~⟨KI,⟩
きぃ	~⟨KYI,⟩
きぇ	~⟨CE,⟩⟨KYE,⟩
きゃ	~⟨CA,⟩⟨KYA,⟩
きゅ	~⟨CU,⟩⟨KYU,⟩
きょ	~⟨CO,⟩⟨KYO,⟩
きん	~⟨KIN,⟩
ぎ	~⟨GI,⟩
ぎぃ	~⟨GYI,⟩
ぎぇ	~⟨GYE,⟩
ぎゃ	~⟨GYA,⟩
ぎゅ	~⟨GYU,⟩
ぎょ	~⟨GYO,⟩
ぎん	~⟨GIN,⟩
く	~⟨KU,⟩
くん	~⟨KUN,⟩
ぐ	~⟨GU,⟩
ぐん	~⟨GUN,⟩
け	~⟨KE,⟩
けん	~⟨KEN,⟩
げ	~⟨GE,⟩
げん	~⟨GEN,⟩
こ	~⟨KO,⟩
こん	~⟨KON,⟩
ご	~⟨GO,⟩
ごん	~⟨GON,⟩
さ	~⟨SA,⟩
さん	~⟨SAN,⟩
ざ	~⟨ZA,⟩
ざん	~⟨ZAN,⟩
し	~⟨CI,⟩⟨SI,⟩⟨SHI,⟩
しぃ	~⟨SYI,⟩
しぇ	~⟨SHE,⟩⟨SYE,⟩
しゃ	~⟨SHA,⟩⟨SYA,⟩
しゅ	~⟨SHU,⟩⟨SYU,⟩
しょ	~⟨SHO,⟩⟨SYO,⟩
しん	~⟨SIN,⟩⟨SHIN,⟩
じ	~⟨JI,⟩⟨ZI,⟩
じぃ	~⟨JYI,⟩⟨ZYI,⟩
じぇ	~⟨JE,⟩⟨JYE,⟩⟨ZYE,⟩
じゃ	~⟨JA,⟩⟨JYA,⟩⟨ZYA,⟩
じゅ	~⟨JU,⟩⟨JYU,⟩⟨ZYU,⟩
じょ	~⟨JO,⟩⟨JYO,⟩⟨ZYO,⟩
じん	~⟨JIN,⟩⟨ZIN,⟩
す	~⟨SU,⟩
すん	~⟨SUN,⟩
ず	~⟨ZU,⟩
ずん	~⟨ZUN,⟩
せ	~⟨SE,⟩
せん	~⟨SEN,⟩
ぜ	~⟨ZE,⟩
ぜん	~⟨ZEN,⟩
そ	~⟨SO,⟩
そん	~⟨SON,⟩
ぞ	~⟨ZO,⟩
ぞん	~⟨ZON,⟩
た	~⟨TA,⟩
たん	~⟨TAN,⟩
だ	~⟨DA,⟩
だん	~⟨DAN,⟩
ち	~⟨TI,⟩⟨CHI,⟩
ちぃ	~⟨CYI,⟩⟨TYI,⟩
ちぇ	~⟨CHE,⟩⟨CYE,⟩⟨TYE,⟩
ちゃ	~⟨CHA,⟩⟨CYA,⟩⟨TYA,⟩
ちゅ	~⟨CHU,⟩⟨CYU,⟩⟨TYU,⟩
ちょ	~⟨CHO,⟩⟨CYO,⟩⟨TYO,⟩
ちん	~⟨TIN,⟩⟨CHIN,⟩
ぢ	~⟨DI,⟩⟨ZIV,⟩⟨JI,^V⟩⟨ZI,^V⟩
ぢぃ	~⟨DYI,⟩
ぢぇ	~⟨DYE,⟩
ぢゃ	~⟨DYA,⟩⟨ZYAV,⟩
ぢゅ	~⟨DYU,⟩
ぢょ	~⟨DYO,⟩⟨ZYOV,⟩
ぢん	~⟨DIN,⟩
っ	~⟨KK,⟩⟨SS,⟩⟨TT,⟩⟨TV,⟩⟨LTU,⟩⟨TSUV⟩⟨TUV,⟩⟨XTU,⟩⟨TU,^V⟩⟨TSU,^V⟩
つ	~⟨TU,⟩⟨TSU,⟩
つん	~⟨TUN,⟩⟨TSUN,⟩
づ	~⟨DU,⟩⟨ZUV,⟩⟨ZU,^V⟩
づん	~⟨DUN,⟩⟨ZUNV,⟩
て	~⟨TE,⟩
てぃ	~⟨THI,⟩
てぇ	~⟨THE,⟩
てゃ	~⟨THA,⟩
てゅ	~⟨THU,⟩
てょ	~⟨THO,⟩
てん	~⟨TEN,⟩
で	~⟨DE,⟩
でぃ	~⟨DHI,⟩
でぇ	~⟨DHE,⟩
でゃ	~⟨DHA,⟩
でゅ	~⟨DHU,⟩
でょ	~⟨DHO,⟩
でん	~⟨DEN,⟩
と	~⟨TO,⟩
とん	~⟨TON,⟩
ど	~⟨DO,⟩
どん	~⟨DON,⟩
な	~⟨NA,⟩
なん	~⟨NAN,⟩
に	~⟨NI,⟩
にぃ	~⟨NYI,⟩
にぇ	~⟨NYE,⟩
にゃ	~⟨NYA,⟩
にゅ	~⟨NYU,⟩
にょ	~⟨NYO,⟩
にん	~⟨NIN,⟩
ぬ	~⟨NU,⟩
ぬん	~⟨NUN,⟩
ね	~⟨NE,⟩
ねん	~⟨NEN,⟩
の	~⟨NO,⟩
のん	~⟨NON,⟩
は	~⟨HA,⟩⟨WA,^R⟩
はん	~⟨HAN,⟩
ば	~⟨BA,⟩
ばん	~⟨BAN,⟩
ぱ	~⟨PA,⟩
ぱん	~⟨PAN,⟩
ひ	~⟨HI,⟩
ひぃ	~⟨HYI,⟩
ひぇ	~⟨HYE,⟩
ひゃ	~⟨HYA,⟩
ひゅ	~⟨HYU,⟩
ひょ	~⟨HYO,⟩
ひん	~⟨HIN,⟩
び	~⟨BI,⟩
びぃ	~⟨BYI,⟩
びぇ	~⟨BYE,⟩
びゃ	~⟨BYA,⟩
びゅ	~⟨BYU,⟩
びょ	~⟨BYO,⟩
びん	~⟨BIN,⟩
ぴ	~⟨PI,⟩
ぴぃ	~⟨PYI,⟩
ぴぇ	~⟨PYE,⟩
ぴゃ	~⟨PYA,⟩
ぴゅ	~⟨PYU,⟩
ぴょ	~⟨PYO,⟩
ぴん	~⟨PIN,⟩
ふ	~⟨FU,⟩⟨HU,⟩
ふぁ	~⟨FA,⟩
ふぃ	~⟨FI,⟩⟨FYI,⟩
ふぇ	~⟨FE,⟩⟨FYE,⟩
ふぉ	~⟨FO,⟩
ふゃ	~⟨FYA,⟩
ふゅ	~⟨FYU,⟩
ふょ	~⟨FYO,⟩
ふん	~⟨FUN,⟩⟨HUN,⟩
ぶ	~⟨BU,⟩
ぶん	~⟨BUN,⟩
ぷ	~⟨PU,⟩
ぷん	~⟨PUN,⟩
へ	~⟨HE,⟩⟨E,^S⟩
へん	~⟨HEN,⟩
べ	~⟨BE,⟩
べん	~⟨BEN,⟩
ぺ	~⟨PE,⟩
ぺん	~⟨PEN,⟩
ほ	~⟨HO,⟩
ほん	~⟨HON,⟩
ぼ	~⟨BO,⟩
ぼん	~⟨BON,⟩
ぽ	~⟨PO,⟩
ぽん	~⟨PON,⟩
ま	~⟨MA,⟩
まん	~⟨MAN,⟩
み	~⟨MI,⟩
みぃ	~⟨MYI,⟩
みぇ	~⟨MYE,⟩
みゃ	~⟨MYA,⟩
みゅ	~⟨MYU,⟩
みょ	~⟨MYO,⟩
みん	~⟨MIN,⟩
む	~⟨MU,⟩
むん	~⟨MUN,⟩
め	~⟨ME,⟩
めん	~⟨MEN,⟩
も	~⟨MO,⟩
もん	~⟨MON,⟩
ゃ	~⟨LYA,⟩⟨XYA,⟩⟨YAV,⟩⟨YA,^V⟩
や	~⟨YA,⟩
やん	~⟨YAN,⟩
ゅ	~⟨LYU,⟩⟨XYU,⟩⟨YUV,⟩⟨YU,^V⟩
ゆ	~⟨YU,⟩
ゆん	~⟨YUN,⟩
ょ	~⟨LYO,⟩⟨XYO,⟩⟨YOV,⟩⟨YO,^V⟩
よ	~⟨YO,⟩
よん	~⟨YON,⟩
ら	~⟨LA,⟩⟨RA,⟩
らん	~⟨LAN,⟩⟨RAN,⟩
り	~⟨LI,⟩⟨RI,⟩
りぃ	~⟨RYI,⟩
りぇ	~⟨RYE,⟩
りゃ	~⟨RYA,⟩
りゅ	~⟨RYU,⟩
りょ	~⟨RYO,⟩
りん	~⟨LIN,⟩⟨RIN,⟩
る	~⟨LU,⟩⟨RU,⟩
るん	~⟨LUN,⟩⟨RUN,⟩
れ	~⟨LE,⟩⟨RE,⟩
れん	~⟨LEN,⟩⟨REN,⟩
ろ	~⟨LO,⟩⟨RO,⟩
ろん	~⟨LON,⟩⟨RON,⟩
ゎ	~⟨LWA,⟩⟨WAV,⟩⟨XWA,⟩⟨WA,^V⟩
わ	~⟨WA,⟩
わん	~⟨WAN,⟩
ゐ	~⟨WI,⟩⟨I,^R⟩
ゑ	~⟨WE,⟩⟨E,^R⟩
を	~⟨WO,⟩⟨O,^R⟩
ん	~⟨M,⟩⟨N,⟩⟨MN,⟩⟨NG,⟩⟨NN,⟩
ゔ	~⟨VU,⟩
ゝ	~⟨,.L⟩
ゞ	~⟨,M^F⟩⟨,SA^V⟩
ァ	~⟨AV.⟩⟨XA.⟩⟨A.^V⟩⟨LA.^V⟩
ア	~⟨A.⟩
アン	~⟨AN.⟩
ィ	~⟨IV.⟩⟨XI.⟩⟨LYI.⟩⟨XYI.⟩⟨I.^V⟩⟨LI.^V⟩
イ	~⟨I.⟩
イン	~⟨IN.⟩
ゥ	~⟨UV.⟩⟨XU.⟩⟨WUV.⟩⟨U.^V⟩⟨LU.^V⟩⟨WU.^V⟩
ウ	~⟨U.⟩⟨WU.⟩
ウン	~⟨UN.⟩
ェ	~⟨EV.⟩⟨XE.⟩⟨LYE.⟩⟨XYE.⟩⟨E.^V⟩⟨LE.^V⟩
エ	~⟨E.⟩
エン	~⟨EN.⟩
ォ	~⟨OV.⟩⟨XO.⟩⟨O.^V⟩⟨LO.^V⟩
オ	~⟨O.⟩
オン	~⟨ON.⟩
カ	~⟨KA.⟩
カン	~⟨KAN.⟩
ガ	~⟨GA.⟩
ガン	~⟨GAN.⟩
キ	~⟨KI.⟩
キィ	~⟨KYI.⟩
キェ	~⟨CE.⟩⟨KYE.⟩
キャ	~⟨CA.⟩⟨KYA.⟩
キュ	~⟨CU.⟩⟨KYU.⟩
キョ	~⟨CO.⟩⟨KYO.⟩
キン	~⟨KIN.⟩
ギ	~⟨GI.⟩
ギィ	~⟨GYI.⟩
ギェ	~⟨GYE.⟩
ギャ	~⟨GYA.⟩
ギュ	~⟨GYU.⟩
ギョ	~⟨GYO.⟩
ギン	~⟨GIN.⟩
ク	~⟨KU.⟩
クン	~⟨KUN.⟩
グ	~⟨GU.⟩
グン	~⟨GUN.⟩
ケ	~⟨KE.⟩
ケン	~⟨KEN.⟩
ゲ	~⟨GE.⟩
ゲン	~⟨GEN.⟩
コ	~⟨KO.⟩
コン	~⟨KON.⟩
ゴ	~⟨GO.⟩
ゴン	~⟨GON.⟩
サ	~⟨SA.⟩
サン	~⟨SAN.⟩
ザ	~⟨ZA.⟩
ザン	~⟨ZAN.⟩
シ	~⟨CI.⟩⟨SI.⟩⟨SHI.⟩
シィ	~⟨SYI.⟩
シェ	~⟨SHE.⟩⟨SYE.⟩
シャ	~⟨SHA.⟩⟨SYA.⟩
シュ	~⟨SHU.⟩⟨SYU.⟩
ショ	~⟨SHO.⟩⟨SYO.⟩
シン	~⟨SIN.⟩⟨SHIN.⟩
ジ	~⟨JI.⟩⟨ZI.⟩
ジィ	~⟨JYI.⟩⟨ZYI.⟩
ジェ	~⟨JE.⟩⟨JYE.⟩⟨ZYE.⟩
ジャ	~⟨JA.⟩⟨JYA.⟩⟨ZYA.⟩
ジュ	~⟨JU.⟩⟨JYU.⟩⟨ZYU.⟩
ジョ	~⟨JO.⟩⟨JYO.⟩⟨ZYO.⟩
ジン	~⟨JIN.⟩⟨ZIN.⟩
ス	~⟨SU.⟩
スン	~⟨SUN.⟩⟨ZUNV.⟩
ズ	~⟨ZU.⟩
ズン	~⟨ZUN.⟩
セ	~⟨SE.⟩
セン	~⟨SEN.⟩
ゼ	~⟨ZE.⟩
ゼン	~⟨ZEN.⟩
ソ	~⟨SO.⟩
ソン	~⟨SON.⟩
ゾ	~⟨ZO.⟩
ゾン	~⟨ZON.⟩
タ	~⟨TA.⟩
タン	~⟨TAN.⟩
ダ	~⟨DA.⟩
ダン	~⟨DAN.⟩
チ	~⟨TI.⟩⟨CHI.⟩
チィ	~⟨CYI.⟩⟨TYI.⟩
チェ	~⟨CHE.⟩⟨CYE.⟩⟨TYE.⟩
チャ	~⟨CHA.⟩⟨CYA.⟩⟨TYA.⟩
チュ	~⟨CHU.⟩⟨CYU.⟩⟨TYU.⟩
チョ	~⟨CHO.⟩⟨CYO.⟩⟨TYO.⟩
チン	~⟨TIN.⟩⟨CHIN.⟩
ヂ	~⟨DI.⟩⟨ZIV.⟩⟨JI.^V⟩⟨ZI.^V⟩
ヂィ	~⟨DYI.⟩
ヂェ	~⟨DYE.⟩
ヂャ	~⟨DYA.⟩⟨ZYAV.⟩
ヂュ	~⟨DYU.⟩
ヂョ	~⟨DYO.⟩⟨ZYOV.⟩
ヂン	~⟨DIN.⟩
ッ	~⟨KK.⟩⟨SS.⟩⟨TT.⟩⟨TV.⟩⟨LTU.⟩⟨TUV.⟩⟨XTU.⟩⟨TU.^V⟩⟨TSU.^V⟩⟨TSUV^V⟩
ツ	~⟨TU.⟩⟨TSU.⟩
ツン	~⟨TUN.⟩⟨TSUN.⟩
ヅ	~⟨DU.⟩⟨ZUV.⟩⟨ZU.^V⟩
ヅン	~⟨DUN.⟩
テ	~⟨TE.⟩
ティ	~⟨THI.⟩
テェ	~⟨THE.⟩
テャ	~⟨THA.⟩
テュ	~⟨THU.⟩
テョ	~⟨THO.⟩
テン	~⟨TEN.⟩
デ	~⟨DE.⟩
ディ	~⟨DHI.⟩
デェ	~⟨DHE.⟩
デャ	~⟨DHA.⟩
デュ	~⟨DHU.⟩
デョ	~⟨DHO.⟩
デン	~⟨DEN.⟩
ト	~⟨TO.⟩
トン	~⟨TON.⟩
ド	~⟨DO.⟩
ドン	~⟨DON.⟩
ナ	~⟨NA.⟩
ナン	~⟨NAN.⟩
ニ	~⟨NI.⟩
ニィ	~⟨NYI.⟩
ニェ	~⟨NYE.⟩
ニャ	~⟨NYA.⟩
ニュ	~⟨NYU.⟩
ニョ	~⟨NYO.⟩
ニン	~⟨NIN.⟩
ヌ	~⟨NU.⟩
ヌン	~⟨NUN.⟩
ネ	~⟨NE.⟩
ネン	~⟨NEN.⟩
ノ	~⟨NO.⟩
ノン	~⟨NON.⟩
ハ	~⟨HA.⟩⟨WA.^R⟩
ハン	~⟨HAN.⟩
バ	~⟨BA.⟩
バン	~⟨BAN.⟩
パ	~⟨PA.⟩
パン	~⟨PAN.⟩
ヒ	~⟨HI.⟩
ヒィ	~⟨HYI.⟩
ヒェ	~⟨HYE.⟩
ヒャ	~⟨HYA.⟩
ヒュ	~⟨HYU.⟩
ヒョ	~⟨HYO.⟩
ヒン	~⟨HIN.⟩
ビ	~⟨BI.⟩
ビィ	~⟨BYI.⟩
ビェ	~⟨BYE.⟩
ビャ	~⟨BYA.⟩
ビュ	~⟨BYU.⟩
ビョ	~⟨BYO.⟩
ビン	~⟨BIN.⟩
ピ	~⟨PI.⟩
ピィ	~⟨PYI.⟩
ピェ	~⟨PYE.⟩
ピャ	~⟨PYA.⟩
ピュ	~⟨PYU.⟩
ピョ	~⟨PYO.⟩
ピン	~⟨PIN.⟩
フ	~⟨FU.⟩⟨HU.⟩
ファ	~⟨FA.⟩
フィ	~⟨FI.⟩⟨FYI.⟩
フェ	~⟨FE.⟩⟨FYE.⟩
フォ	~⟨FO.⟩
フャ	~⟨FYA.⟩
フュ	~⟨FYU.⟩
フョ	~⟨FYO.⟩
フン	~⟨FUN.⟩⟨HUN.⟩⟨YUN.⟩
ブ	~⟨BU.⟩
ブン	~⟨BUN.⟩
プ	~⟨PU.⟩
プン	~⟨PUN.⟩
ヘ	~⟨HE.⟩⟨E.^S⟩
ヘン	~⟨HEN.⟩
ベ	~⟨BE.⟩
ベン	~⟨BEN.⟩
ペ	~⟨PE.⟩
ペン	~⟨PEN.⟩
ホ	~⟨HO.⟩
ホン	~⟨HON.⟩
ボ	~⟨BO.⟩
ボン	~⟨BON.⟩
ポ	~⟨PO.⟩
ポン	~⟨PON.⟩
マ	~⟨MA.⟩
マン	~⟨MAN.⟩
ミ	~⟨MI.⟩
ミィ	~⟨MYI.⟩
ミェ	~⟨MYE.⟩
ミャ	~⟨MYA.⟩
ミュ	~⟨MYU.⟩
ミョ	~⟨MYO.⟩
ミン	~⟨MIN.⟩
ム	~⟨MU.⟩
ムン	~⟨MUN.⟩
メ	~⟨ME.⟩
メン	~⟨MEN.⟩
モ	~⟨MO.⟩
モン	~⟨MON.⟩
ャ	~⟨LYA.⟩⟨XYA.⟩⟨YAV.⟩⟨YA.^V⟩
ヤ	~⟨YA.⟩
ヤン	~⟨YAN.⟩
ュ	~⟨LYU.⟩⟨XYU.⟩⟨YUV.⟩⟨YU.^V⟩
ユ	~⟨YU.⟩
ョ	~⟨LYO.⟩⟨XYO.⟩⟨YOV.⟩⟨YO.^V⟩
ヨ	~⟨YO.⟩
ヨン	~⟨YON.⟩
ラ	~⟨LA.⟩⟨RA.⟩
ラン	~⟨LAN.⟩⟨RAN.⟩
リ	~⟨LI.⟩⟨RI.⟩
リィ	~⟨RYI.⟩
リェ	~⟨RYE.⟩
リャ	~⟨RYA.⟩
リュ	~⟨RYU.⟩
リョ	~⟨RYO.⟩
リン	~⟨LIN.⟩⟨RIN.⟩
ル	~⟨LU.⟩⟨RU.⟩
ルン	~⟨LUN.⟩⟨RUN.⟩
レ	~⟨LE.⟩⟨RE.⟩
レン	~⟨LEN.⟩⟨REN.⟩
ロ	~⟨LO.⟩⟨RO.⟩
ロン	~⟨LON.⟩⟨RON.⟩
ヮ	~⟨LWA.⟩⟨WAV.⟩⟨XWA.⟩⟨WA.^V⟩
ワ	~⟨WA.⟩
ワン	~⟨WAN.⟩
ヰ	~⟨WI.⟩⟨I.^R⟩
ヱ	~⟨WE.⟩⟨E.^R⟩
ヲ	~⟨WO.⟩⟨O.^R⟩
ン	~⟨M.⟩⟨N.⟩⟨MN.⟩⟨NG.⟩⟨NN.⟩
ヴ	~⟨VU.⟩
ヴィ	~⟨VYI.⟩
ヴェ	~⟨VE.⟩⟨VYE.⟩
ヴャ	~⟨VYA.⟩
ヴュ	~⟨VYU.⟩
ヴョ	~⟨VYO.⟩
ヵ	~⟨GAV.⟩⟨KAV.⟩⟨LKA.⟩⟨XKA.⟩⟨GA.^V⟩
ヶ	~⟨GEV.⟩⟨KEV.⟩⟨LKE.⟩⟨XKE.⟩⟨GE.^V⟩
ヷ	~⟨VA.⟩
ヸ	~⟨VI.⟩
ヺ	~⟨VO.⟩
ー	~⟨EE,⟩⟨EE.⟩
ヾ	~⟨,SA⟩
ㄈ	~⟨,FL^V⟩
ㄉ	~⟨,D⟩
ㄊ	~⟨,T⟩
ㄍ	~⟨,GA^V⟩
ㄎ	~⟨,K^R⟩
ㄏ	~⟨,H⟩⟨,LP⟩⟨,HP^R⟩
ㄐ	~⟨,JI⟩⟨,J^V⟩
ㄑ	~⟨,Q⟩⟨,CI⟩⟨,CHI^V⟩
ㄒ	~⟨,X⟩⟨,SHI^V⟩
ㄓ	~⟨,ZH⟩⟨,ZHI⟩
ㄔ	~⟨,CH⟩⟨,CHI⟩
ㄕ	~⟨,SH⟩⟨,SHI⟩
ㄖ	~⟨,R^R⟩
ㄗ	~⟨,Z⟩⟨,PL⟩⟨,TZ⟩⟨,PI^S⟩
ㄘ	~⟨,TS⟩
ㄚ	~⟨,A^V⟩
ㄝ	~⟨,EH⟩
ㄞ	~⟨,AI⟩
ㄟ	~⟨,EI⟩
ㄠ	~⟨,AO⟩⟨,AU⟩
ㄡ	~⟨,OU⟩
ㄢ	~⟨,AN⟩
ㄣ	~⟨,EN⟩
ㄤ	~⟨,ANG⟩
ㄥ	~⟨,ENG⟩
ㄦ	~⟨,EL⟩⟨,ER⟩
ㄧ	~⟨,I⟩⟨,Y⟩⟨,EK⟩⟨,YI⟩
ㄨ	~⟨,U⟩⟨,WU⟩⟨,XL⟩
ㄩ	~⟨,IU⟩⟨,YU⟩⟨,UI^S⟩
㆓	~⟨,RK⟩
㆔	~⟨,SB⟩
㆕	~⟨,FW⟩
㆖	~⟨,FE⟩
㆗	~⟨,CJ⟩⟨,CI^V⟩
㆘	~⟨,FA⟩
㆙	~⟨,QI⟩
㆚	~⟨,ZL⟩⟨,ZZ^V⟩
㆛	~⟨,ENB⟩
㆜	~⟨,TI^V⟩
㆝	~⟨,ED⟩⟨,EDN⟩⟨,GNN⟩⟨,GN^V⟩
㆞	~⟨,YA⟩⟨,YAL⟩
㆟	~⟨,BN⟩
㈠	~⟨,GE^V⟩
㈢	~⟨,GS^V⟩
㈣	~⟨,GF^V⟩
㈤	~⟨,GW^V⟩
㈥	~⟨,GL^V⟩
㈦	~⟨,GC^V⟩
㈧	~⟨,GB^V⟩
㈨	~⟨,GK^V⟩
㈩	~⟨,GO⟩⟨,GJ^V⟩
㈪	~⟨,GUE⟩
㈫	~⟨,GFN⟩
㈬	~⟨,GWN⟩
㈭	~⟨,GTN⟩
㈮	~⟨,GAE⟩
㈯	~⟨,GYE⟩
㈰	~⟨,GDO⟩
㈱	~⟨,GTS⟩⟨,TSS⟩
㈲	~⟨,GXU⟩
㈳	~⟨,GRS⟩⟨,GRY⟩
㈴	~⟨,GCO⟩
㈵	~⟨,GSA⟩⟨,GSY⟩
㈶	~⟨,GMB⟩⟨,GMU⟩
㈷	~⟨,GRR⟩⟨,GRS^V⟩
㈸	~⟨,GSD⟩⟨,GSN⟩
㈹	~⟨,GPX⟩⟨,GPA^V⟩
㈺	~⟨,GOH⟩
㈻	~⟨,GSZ⟩⟨,GSN^V⟩
㈼	~⟨,GRF⟩⟨,GRV⟩
㈽	~⟨,GBZ⟩
㈾	~⟨,GBB⟩⟨,GBI⟩
㈿	~⟨,GJD⟩
㉀	~⟨,GJA⟩⟨,GJR^V⟩
㉁	~⟨,GPT⟩
㉂	~⟨,GPM⟩
㉃	~⟨,GPE⟩
㉿	~⟨,OKC⟩⟨,OKE⟩⟨,OEK^V⟩
㊀	~⟨,OE^V⟩
㊂	~⟨,OS^V⟩
㊄	~⟨,OW^V⟩
㊅	~⟨,OL^V⟩
㊆	~⟨,OC^V⟩
㊇	~⟨,OB^V⟩
㊈	~⟨,OK^V⟩
㊉	~⟨,OJ^V⟩⟨,OEO^V⟩
㊊	~⟨,OUE⟩
㊋	~⟨,OFN⟩
㊌	~⟨,OWN⟩
㊍	~⟨,OTN⟩
㊎	~⟨,OAE⟩
㊏	~⟨,OYE⟩⟨,OYV⟩
㊐	~⟨,ODO⟩
㊑	~⟨,OTS⟩
㊒	~⟨,OXU⟩
㊓	~⟨,ORS⟩⟨,ORY⟩
㊔	~⟨,OCO⟩
㊕	~⟨,OSY⟩⟨,OSA^V⟩
㊖	~⟨,OMB⟩⟨,OMU⟩
㊗	~⟨,ORR⟩⟨,ORS^V⟩
㊘	~⟨,OSD⟩⟨,OSN⟩
㊙	~⟨,OHH⟩⟨,OHP⟩
㊚	~⟨,OQD⟩
㊛	~⟨,OGX⟩
㊜	~⟨,OLN⟩⟨,OLW⟩⟨,OXW⟩
㊝	~⟨,OPP⟩⟨,OPT⟩
㊞	~⟨,OEP⟩
㊟	~⟨,OWA⟩⟨,OWK⟩
㊠	~⟨,OIB⟩⟨,OIT⟩
㊡	~⟨,OPT^V⟩
㊢	~⟨,ONE⟩⟨,ONK⟩
㊣	~⟨,OEZ⟩
㊤	~⟨,OFE⟩
㊥	~⟨,OCI^V⟩⟨,OCJ^V⟩
㊦	~⟨,OFA⟩
㊧	~⟨,OXI⟩
㊨	~⟨,OXO⟩
㊩	~⟨,OFD⟩⟨,OFV⟩
㊪	~⟨,ONR⟩⟨,ONS⟩
㊫	~⟨,OSZ⟩⟨,OSN^V⟩
㊬	~⟨,ORF⟩⟨,ORV⟩
㊭	~⟨,OBZ⟩
㊮	~⟨,OBI⟩⟨,OBB^V⟩
㊯	~⟨,OJD⟩
㊰	~⟨,OLP⟩⟨,OLU⟩⟨,OLX⟩
㋀	~⟨,EUE⟩
㋁	~⟨,RUE⟩
㋂	~⟨,SUE⟩
㋃	~⟨,FUE⟩
㋄	~⟨,WUE⟩
㋅	~⟨,LUE⟩
㋆	~⟨,CUE⟩
㋇	~⟨,BUE⟩
㋈	~⟨,KUE⟩
㋉	~⟨,EOU⟩⟨,JUE⟩
㋊	~⟨,EEU⟩⟨,JEU⟩
㋋	~⟨,ERU⟩⟨,JRU⟩
㋐	~⟨,OA.⟩
㋑	~⟨,OI.⟩
㋒	~⟨,OU.⟩
㋓	~⟨,OE.⟩
㋔	~⟨,OO.⟩
㋕	~⟨,OKA⟩
㋖	~⟨,OKI⟩
㋗	~⟨,OKU⟩
㋘	~⟨,OKE^V⟩
㋙	~⟨,OKO⟩
㋚	~⟨,OSA^R⟩
㋛	~⟨,OSI⟩
㋜	~⟨,OSU⟩
㋝	~⟨,OSE⟩
㋞	~⟨,OSO⟩
㋟	~⟨,OTA⟩
㋠	~⟨,OTI⟩
㋡	~⟨,OTU⟩
㋢	~⟨,OTE⟩
㋣	~⟨,OTO⟩
㋤	~⟨,ONA⟩
㋥	~⟨,ONI⟩
㋦	~⟨,ONU⟩
㋧	~⟨,ONE^V⟩
㋨	~⟨,ONO⟩
㋩	~⟨,OHA⟩
㋪	~⟨,OHI⟩
㋫	~⟨,OHU⟩
㋬	~⟨,OHE⟩
㋭	~⟨,OHO⟩
㋮	~⟨,OMA⟩
㋯	~⟨,OMI⟩
㋰	~⟨,OMU^V⟩
㋱	~⟨,OME⟩
㋲	~⟨,OMO⟩
㋳	~⟨,OYA⟩
㋴	~⟨,OYU⟩
㋵	~⟨,OYO⟩
㋶	~⟨,ORA⟩
㋷	~⟨,ORI^V⟩
㋸	~⟨,ORU⟩
㋹	~⟨,ORE⟩
㋺	~⟨,ORO^V⟩
㋻	~⟨,OWA^V⟩
㋼	~⟨,OWI⟩
㋽	~⟨,OWE⟩
㋾	~⟨,OWO⟩
㍱	~⟨,HPA⟩
㍲	~⟨,DA⟩
㍳	~⟨,AU^V⟩
㍴	~⟨,BAR⟩
㍵	~⟨,OV^R⟩
㍶	~⟨,PC^V⟩
㍻	~⟨,PA^R⟩
㍼	~⟨,DH⟩
㍽	~⟨,DE^R⟩
㍾	~⟨,DW^V⟩
㍿	~⟨,TAA⟩⟨,TAR⟩
㎀	~⟨,PA⟩⟨,PAA⟩
㎁	~⟨,NA^V⟩
㎂	~⟨,MUA⟩⟨,UA^V⟩
㎃	~⟨,MA⟩
㎄	~⟨,KA^V⟩
㎅	~⟨,KB⟩
㎆	~⟨,MB⟩
㎇	~⟨,GB^S⟩
㎈	~⟨,CAL⟩
㎉	~⟨,KCA⟩
㎊	~⟨,PF⟩
㎋	~⟨,NF⟩
㎌	~⟨,UF⟩⟨,MUF⟩
㎍	~⟨,UG⟩⟨,MUG⟩
㎎	~⟨,MG⟩
㎏	~⟨,KG⟩
㎐	~⟨,HZ⟩
㎑	~⟨,KHZ⟩
㎒	~⟨,MHZ⟩
㎓	~⟨,GHZ⟩
